"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2010","1,403.04","1,469.21","1,512.75","1,396.73","1.46M","-4.56%"
"12/01/2009","1,470.01","1,350.01","1,480.21","1,343.42","1.15M","8.60%"
"11/01/2009","1,353.59","1,335.59","1,427.60","1,324.81","1.10M","-1.17%"
"10/01/2009","1,369.67","1,466.30","1,471.68","1,354.40","1.31M","-6.17%"
"09/01/2009","1,459.76","1,377.02","1,499.76","1,368.43","1.86M","6.05%"
"08/01/2009","1,376.50","1,355.41","1,401.92","1,315.75","1.65M","1.90%"
"07/01/2009","1,350.85","1,168.18","1,354.48","1,163.25","1.86M","15.44%"
"06/01/2009","1,170.19","1,159.14","1,199.12","1,134.24","1.77M","0.76%"
"05/01/2009","1,161.35","1,161.39","1,197.32","1,087.11","2.46M","1.37%"
"04/01/2009","1,145.63","1,045.61","1,154.43","1,033.08","3.01M","10.35%"
"03/01/2009","1,038.21","897.84","1,087.82","860.61","2.45M","13.40%"
"02/01/2009","915.50","988.07","1,079.29","891.82","1.95M","-8.89%"
"01/01/2009","1,004.79","978.13","1,081.88","930.54","2.00M","3.58%"
"12/01/2008","970.04","939.93","1,050.21","870.32","2.48M","2.94%"
"11/01/2008","942.33","1,001.28","1,069.54","794.24","2.70M","-5.99%"
"10/01/2008","1,002.38","1,242.01","1,244.10","799.42","2.47M","-18.87%"
"09/01/2008","1,235.46","1,229.62","1,288.86","1,163.43","1.61M","-1.07%"
"08/01/2008","1,248.79","1,329.39","1,350.98","1,243.01","915.55K","-6.98%"
"07/01/2008","1,342.53","1,410.81","1,415.48","1,258.48","1.25M","-4.75%"
"06/01/2008","1,409.51","1,570.74","1,575.95","1,405.89","845.23K","-10.51%"
"05/01/2008","1,574.99","1,576.80","1,620.16","1,510.85","1.03M","1.66%"
"04/01/2008","1,549.27","1,423.59","1,557.48","1,417.18","1.21M","8.59%"
"03/01/2008","1,426.65","1,388.30","1,430.31","1,272.56","1.05M","0.73%"
"02/01/2008","1,416.32","1,398.99","1,448.89","1,362.59","797.37K","2.43%"
"01/01/2008","1,382.74","1,578.21","1,580.24","1,330.42","1.18M","-12.60%"
"12/01/2007","1,582.04","1,572.06","1,640.84","1,508.28","860.86K","0.52%"
"11/01/2007","1,573.93","1,686.72","1,687.64","1,464.61","1.25M","-5.76%"
"10/01/2007","1,670.12","1,606.55","1,685.15","1,524.67","1.43M","3.99%"
"09/01/2007","1,606.05","1,544.40","1,611.14","1,490.80","795.01K","4.15%"
"08/01/2007","1,542.01","1,581.86","1,583.72","1,368.78","1.22M","-3.16%"
"07/01/2007","1,592.27","1,461.25","1,672.01","1,456.70","1.33M","8.67%"
"06/01/2007","1,465.28","1,440.95","1,520.59","1,437.07","1.36M","2.53%"
"05/01/2007","1,429.13","1,354.49","1,431.45","1,349.10","988.24K","6.13%"
"04/01/2007","1,346.57","1,292.57","1,361.30","1,292.19","957.46K","4.42%"
"03/01/2007","1,289.51","1,259.77","1,302.27","1,233.62","753.05K","1.58%"
"02/01/2007","1,269.46","1,229.18","1,327.33","1,224.63","735.80K","3.75%"
"01/01/2007","1,223.59","1,281.14","1,283.38","1,202.73","676.51K","-4.11%"
"12/01/2006","1,276.05","1,271.36","1,291.16","1,222.45","602.97K","0.43%"
"11/01/2006","1,270.53","1,229.98","1,274.92","1,214.70","756.91K","3.80%"
"10/01/2006","1,224.04","1,239.32","1,250.55","1,188.86","696.12K","-1.36%"
"09/01/2006","1,240.89","1,230.04","1,253.27","1,203.76","741.83K","1.04%"
"08/01/2006","1,228.14","1,183.95","1,237.60","1,166.24","792.14K","3.67%"
"07/01/2006","1,184.66","1,174.33","1,202.04","1,117.59","707.25K","0.82%"
"06/01/2006","1,175.02","1,184.26","1,196.86","1,080.50","866.95K","-1.35%"
"05/01/2006","1,191.13","1,276.94","1,320.94","1,174.91","943.18K","-6.71%"
"04/01/2006","1,276.86","1,226.53","1,313.36","1,225.39","930.41K","4.27%"
"03/01/2006","1,224.60","1,240.66","1,241.10","1,161.37","967.30K","-0.76%"
